,city,latd,longd,elevation_m,elevation_ft,population_total,area_total_sq_mi,area_land_sq_mi,area_water_sq_mi,area_total_km2,area_land_km2,area_water_km2,area_water_percent
39,BigBearLake,34.241388888888885,-116.90333333333334,2058.0,6752.0,5019,6.534,6.346,0.188,16.923,16.435,0.488,2.88
40,Biggs,39.413888888888884,-121.71027777777779,30.0,98.0,1707,0.636,0.636,0.0,1.646,1.646,0.0,0.0
41,Bishop,37.3635,-118.3951,180.41670506912445,4150.0,3879,1.911,1.864,0.047,4.949,4.827,0.122,2.5
42,BlueLake,40.882777777777775,-123.98388888888887,40.0,131.0,1253,0.622,0.5920000000000001,0.03,1.61,1.533,0.077,4.8
43,Blythe,33.61027777777778,-114.59638888888887,83.0,272.0,20817,26.972,26.189,0.7829999999999999,69.855,67.828,2.027,2.9
44,Bradbury,34.14944444444444,-117.97444444444444,206.0,676.0,1048,1.958,1.957,0.001,5.073,5.07,0.003,0.06
45,Brawley,32.978611111111114,-115.53027777777778,-34.0,-112.0,24953,7.682,7.682,0.0,19.895,19.895,0.0,0.0
46,Brea,33.92333333333333,-117.88888888888891,110.0,361.0,39282,12.109000000000002,12.078,0.031,31.363000000000003,31.283,0.08,0.26
47,Brentwood,37.93194444444444,-121.69583333333334,180.41670506912445,79.0,51481,14.805,14.786,0.019,38.345,38.295,0.049,0.13
48,Brisbane,37.68083333333333,-122.41916666666668,33.0,108.0,4282,20.077,3.096,16.980999999999998,51.999,8.017000000000001,43.981,84.58
49,Buellton,34.61416666666667,-120.19388888888888,109.0,358.0,4828,1.5830000000000002,1.582,0.001,4.099,4.098,0.002,0.04
50,BuenaPark,33.85611111111111,-118.00416666666666,23.0,75.0,80530,10.553,10.524,0.029,27.332,27.257,0.075,0.28
51,Burbank,34.18027777777777,-118.32833333333332,185.0,607.0,103340,17.379,17.340999999999998,0.038,45.011,44.913,0.098,0.22
52,Burlingame,37.583333333333336,-122.36361111111113,12.0,39.0,28806,6.057,4.4060000000000015,1.651,15.686,11.411,4.275,27.25
53,Calabasas,34.13833333333333,-118.66083333333334,243.0,5.0,23058,13.3,13.249,0.051,34.4,34.27,0.131,0.38
54,Calexico,32.678888888888885,-115.49888888888887,180.41670506912445,3.0,38572,8.391,8.391,0.0,21.733,21.733,0.0,0.0
55,CaliforniaCity,35.12583333333333,-117.98583333333332,733.0,2405.0,14120,203.631,203.523,0.108,527.401,527.122,0.279,0.05
56,Calimesa,33.988055555555555,-117.04305555555555,729.0,2392.0,7879,14.847,14.847,0.0,38.454,38.454,0.0,0.0
57,Calipatria,33.12555555555556,-115.51416666666668,180.41670506912445,-180.0,7705,3.716,3.716,0.0,9.624,9.624,0.0,0.0
58,Calistoga,38.581388888888895,-122.58277777777779,106.0,348.0,5155,2.613,2.595,0.018000000000000002,6.769,6.722,0.047,0.7
59,Camarillo,34.23333333333333,-119.03333333333332,54.0,177.0,65201,19.543,19.528,0.015,50.617,50.577,0.04,0.08
60,Campbell,37.28388888888889,-121.955,60.0,197.0,39349,5.886,5.797999999999999,0.08800000000000001,15.245,15.017,0.228,1.49
61,CanyonLake,33.68416666666666,-117.25555555555556,422.0,1385.0,10561,4.671,3.928,0.743,12.099,10.173,1.926,15.92
62,Capitola,36.97638888888889,-121.95472222222223,4.0,13.0,9918,1.676,1.5930000000000002,0.083,4.34,4.126,0.214,4.92
63,Carlsbad,33.121944444444445,-117.29694444444445,16.0,52.0,105328,39.11,37.722,1.388,101.295,97.699,3.596,3.55
64,CarmelbytheSea,36.555277777777775,-121.92333333333332,180.41670506912445,180.41670506912445,3722,1.08,1.08,0.0,2.798,2.798,0.0,0.0
65,Carpinteria,34.399166666666666,-119.51638888888887,10.0,33.0,13040,9.272,2.5860000000000003,6.686,24.012,6.697,17.315,72.11
66,Carson,33.83972222222222,-118.25972222222221,8.2,27.0,91714,18.968,18.724,0.244,49.127,48.495,0.631,1.29
67,CathedralCity,33.807777777777765,-116.4647222222222,100.0,328.0,51200,21.756,21.499,0.257,56.349,55.683,0.6659999999999999,1.18
68,Ceres,37.60138888888889,-120.95722222222223,28.0,92.0,45417,8.019,8.011000000000001,0.008,20.771,20.749,0.022,0.1
69,Cerritos,33.86833333333333,-118.0675,14.0,34.0,49041,8.856,8.725,0.131,22.937,22.598000000000006,0.339,1.48
70,Chico,39.74,-121.83555555555556,74.0,245.0,86187,33.095,32.923,0.172,85.71600000000002,85.271,0.446,0.52
71,Chino,34.017777777777766,-117.69,222.0,728.0,77983,29.652,29.639,0.013,76.79899999999998,76.766,0.033,0.04
72,ChinoHills,33.975277777777784,-117.72305555555555,365.0,1070.0,75655,44.749,44.681,0.068,115.899,115.723,0.175,0.15
73,Chowchilla,37.11666666666667,-120.26666666666668,73.0,240.0,18720,7.661,7.661,0.0,19.842,19.842,0.0,0.0
74,ChulaVista,32.62777777777778,-117.04805555555555,21.0,69.0,243916,52.094,49.631,2.463,134.925,128.545,6.38,4.73
75,CitrusHeights,38.7,-121.28333333333332,50.0,164.0,83301,14.228,14.228,0.0,36.851,36.851,0.0,0.0
76,Claremont,34.11,-117.71972222222223,180.41670506912445,180.41670506912445,34926,13.486,13.348,0.138,34.93,34.571,0.358,1.03
77,Clayton,37.94111111111111,-121.93583333333332,120.0,394.0,10897,3.836,3.836,0.0,9.935,9.935,0.0,0.0
78,Clearlake,38.958333333333336,-122.62638888888887,432.0,1417.0,15250,10.581,10.129,0.452,27.404,26.234,1.17,4.27
79,Cloverdale,38.799166666666665,-123.01722222222222,180.41670506912445,335.0,8618,2.648,2.648,0.0,6.857,6.857,0.0,0.0
80,Clovis,36.82527777777778,-119.70305555555555,110.0,361.0,101314,23.278,23.278,0.0,60.289,60.289,0.0,0.0
81,Coachella,33.67944444444444,-116.17444444444445,-20.74,-66.0,40704,28.95,28.95,0.0,74.98100000000002,74.98100000000002,0.0,0.0
82,Coalinga,36.13972222222222,-120.36027777777777,205.0,673.0,13380,6.15,6.119,0.031,15.927,15.847,0.08,0.5
83,Colfax,39.09722222222222,-120.95388888888891,739.0,2425.0,1963,1.4069999999999998,1.4069999999999998,0.0,3.645,3.645,0.0,0.0
84,Colma,37.678888888888885,-122.45555555555555,37.0,121.0,1792,1.909,1.909,0.0,4.945,4.945,0.0,0.0
85,Colton,34.065,-117.32166666666666,306.0,1004.0,52154,16.039,15.324000000000002,0.715,41.541,39.689,1.852,4.46
86,Colusa,39.21444444444445,-122.00944444444444,16.0,52.0,5971,1.834,1.834,0.0,4.751,4.751,0.0,0.0
87,Commerce,34.00055555555556,-118.15472222222223,43.0,141.0,12823,6.5379999999999985,6.537000000000001,0.001,16.933,16.93,0.003,0.02
88,Compton,33.89666666666667,-118.225,21.0,69.0,96455,10.116,10.012,0.104,26.202,25.932,0.27,1.03
89,Concord,37.978055555555564,-122.03111111111113,26.0,85.3,122067,30.546,30.546,0.0,79.11399999999998,79.11399999999998,0.0,0.0
90,Corcoran,36.09805555555556,-119.56027777777777,63.0,207.0,25515,7.467,7.467,0.0,19.338,19.338,0.0,0.0
91,Corning,39.92611111111111,-122.18055555555556,84.0,276.0,17382,3.55,3.55,0.0,9.193,9.193,0.0,0.0
92,Corona,33.86666666666667,-117.56666666666666,206.0,678.0,158391,38.93,38.825,0.105,100.829,100.558,0.272,0.27
93,Coronado,32.678055555555545,-117.1725,6.0,20.0,24697,32.666,7.931,24.735,84.603,20.541,64.062,75.72
94,CorteMadera,37.92555555555556,-122.5275,12.0,39.0,9253,4.4060000000000015,3.164,1.242,11.41,8.193,3.216,28.19
95,CostaMesa,33.665,-117.91222222222223,30.0,98.0,109960,15.7,15.654000000000002,0.046,40.662,40.543,0.119,0.29
96,Cotati,38.32777777777778,-122.70916666666668,34.0,112.0,7310,1.883,1.88,0.003,4.877,4.869,0.008,0.17
97,Covina,34.09166666666667,-117.87916666666666,170.0,558.0,47796,7.041,7.026,0.015,18.236,18.196,0.039,0.22
98,CrescentCity,41.755833333333335,-124.20166666666668,180.41670506912445,43.0,7643,2.415,1.963,0.452,6.255,5.085,1.17,18.7
99,Cudahy,33.96416666666667,-118.1825,37.0,121.0,23805,1.226,1.175,0.051,3.175,3.043,0.132,4.15
100,CulverCity,34.00777777777777,-118.40083333333334,29.0,95.0,38883,5.1389999999999985,5.1110000000000015,0.028,13.31,13.238,0.07200000000000001,0.54
101,Cupertino,37.3175,-122.04194444444445,72.0,236.0,58302,11.257,11.255999999999998,0.001,29.156,29.153,0.003,0.01
102,Cypress,33.81833333333333,-118.03916666666666,12.0,39.0,47802,6.59,6.581,0.009000000000000001,17.069000000000006,17.045,0.024,0.14
103,DalyCity,37.686388888888885,-122.46833333333332,57.0,187.0,101123,7.664,7.664,0.0,19.849,19.849,0.0,0.0
104,DanaPoint,33.467222222222226,-117.69805555555556,44.0,144.0,33351,29.484,6.497000000000001,22.987,76.36399999999998,16.828,59.536,77.96
105,Danville,37.82166666666667,-122.0,109.0,358.0,42039,18.028,18.028,0.0,46.69300000000001,46.69300000000001,0.0,0.0
106,Davis,38.553888888888885,-121.73805555555555,16.0,52.0,65622,9.919,9.887,0.032,25.69,25.608,0.08199999999999999,0.32
107,Delano,35.76888888888889,-119.24694444444445,96.0,315.0,53819,14.355,14.303,0.052000000000000005,37.18,37.044,0.135,0.36
108,DelMar,32.955000000000005,-117.26388888888887,34.0,112.0,4161,1.777,1.707,0.07,4.602,4.421,0.181,3.94
109,DelReyOaks,36.59333333333333,-121.835,25.0,82.0,1624,0.483,0.481,0.002,1.251,1.246,0.005,0.42
110,DesertHotSprings,33.96111111111112,-116.50805555555556,328.0,1076.0,25938,23.642,23.615,0.027000000000000003,61.233,61.164,0.069,0.11
111,DiamondBar,34.001666666666665,-117.82083333333333,212.0,696.0,55544,14.885,14.88,0.005,38.552,38.538,0.014,0.04
112,Dinuba,36.545,-119.38916666666668,102.0,345.0,21453,6.47,6.47,0.0,16.758,16.758,0.0,0.0
113,Dixon,38.449166666666656,-121.82694444444445,19.0,62.0,18351,7.0920000000000005,6.996,0.096,18.368,18.118,0.249,1.36
114,Dorris,41.965,-121.91888888888887,1294.0,4245.0,939,0.718,0.7020000000000001,0.016,1.86,1.819,0.041,2.19
